
Age,Gender,Income,Region,PreferredCategory,PurchaseFrequency,AnnualSpending,Tenure,LastPurchaseDays,LoyaltyScore,CLV
27,Female,83.4495009073919,Suburban,Home,2,162.3187009601056,10,15.88171132368593,67.09125370065418,1089.0165146475063
24,Female,19.235547035237587,Suburban,Sports,2,41.464100568395935,6,12.955562469391039,39.952693765533404,99.39615073634414
28,Male,105.82867906796446,Suburban,Home,7,482.5844423364817,7,9.67774607040304,83.88001518982692,2833.543324749077
32,Female,42.46499758716395,Urban,Sports,1,40.386124565397886,2,30.109818146786694,33.0569278422841,26.7008241117571
23,Female,29.969645442300532,Rural,Fashion,3,89.29320482479076,9,17.789917194785907,58.08769951124269,466.8153165232462
23,Male,68.38490774451643,Urban,Electronics,3,170.96421687454605,10,46.90102338134924,65.62197775798765,1121.901003715324
32,Male,30.409146792737825,Urban,Home,4,128.56671838285962,10,28.124934496183887,65.29349230419335,839.4570037306637
28,Male,98.51665520213287,Suburban,Home,4,250.96968985625313,1,19.15333459543135,42.40648501179998,106.42742391305286
22,Male,113.78614724481653,Urban,Sports,6,601.9180685151869,1,6.2499555565968095,57.08057084624077,343.57826953513523
27,Male,57.097254558113484,Urban,Fashion,2,88.98445082507905,3,51.047408642572464,43.017784353407045,114.83741749198812
22,Male,31.336961570359513,Suburban,Fashion,2,55.302001762317495,3,31.954918422800837,42.55753399143146,70.60550459382088
22,Male,31.608489030980067,Rural,Beauty,1,41.32141454070691,1,49.792406652598004,30.870710010991992,12.756214055301509
26,Male,53.31909546356951,Urban,Sports,3,209.8558617914611,7,32.368605522459525,61.926687120973384,909.6974805563431
15,Female,114.88063524304785,Suburban,Fashion,5,726.5625491843837,4,15.100366587757133,50.09493113053775,1455.884034536786
16,Male,58.25040243304591,Rural,Books,4,197.83193965427407,10,14.315190035741415,69.23311431147559,1369.6521292545297
22,Female,26.221274202535778,Urban,Health,3,92.65248325249516,2,23.05802150868146,37.840019167052496,70.11943484298854
19,Male,65.36509843570404,Urban,Beauty,3,193.53956776543183,10,3.744763309155576,72.66462219834779,1406.3479572106633
26,Female,51.015320182089624,Urban,Books,3,148.59867891569112,5,15.540941689164354,46.837870254940974,348.0022821554387
20,Male,60.281811573691286,Urban,Electronics,6,340.5078203248794,6,10.09618974843771,62.236889705214416,1271.5288594393492
17,Male,29.95440501677898,Urban,Home,4,165.59038152555547,9,8.348629787318698,72.42441550836244,1079.3507936215585
32,Female,70.85895565831578,Rural,Beauty,4,365.0090110279723,4,4.38220765664112,45.63403987322915,666.2734305335371
23,Female,64.74698232879953,Suburban,Electronics,5,368.6612694686141,2,10.225744218925254,49.56858980968043,365.4803849001159
25,Female,99.62459561882284,Suburban,Home,3,274.7031967100161,5,4.164775179340253,62.739052837741816,861.7309186543141
17,Male,34.08883149600143,Urban,Health,2,66.09787488287978,3,2.377692505303186,46.72458165890626,92.65186657335856
22,Male,73.90207549017313,Suburban,Fashion,2,160.7127721064664,2,7.046305288553873,37.233685851815515,119.67857737973178
25,Female,108.36715459527794,Rural,Books,2,180.93280550013705,1,12.344931686011712,33.78324825916797,61.124978864388815
19,Female,30.051763099216902,Suburban,Sports,3,106.85166768381958,10,6.160419803416905,72.17077126444069,771.1567267632973
26,Female,80.32245651474761,Urban,Books,7,415.4525015015656,2,10.268996702711775,62.62546326163427,520.3581073948071
21,Female,49.348863369246274,Suburban,Health,2,104.03159716707391,6,14.839209169489102,50.966886336143574,318.1299952909039
23,Male,28.47387647822666,Urban,Electronics,3,35.062868288042246,8,10.78493527365587,60.95113304453045,170.96972399578485
21,Female,26.952438989203586,Urban,Sports,1,22.312618490938863,3,108.44345752474848,29.745202042254586,19.910800353141667
34,Male,58.13028697014554,Urban,Fashion,2,169.58261560727934,9,111.32684474478002,47.2388361385442,720.9796851556198
24,Male,30.283249624485535,Suburban,Health,3,109.80881581059437,9,52.76668776592243,62.2492219544658,615.1962013155669
19,Male,65.2969275435673,Suburban,Sports,5,433.738898754093,2,1.531829123244999,49.3557962954915,428.1505746467565
29,Female,29.647506109704544,Urban,Health,1,23.713443910530348,8,156.4083700084656,52.67483961614626,99.92814837869331
18,Male,64.86501643826202,Urban,Health,3,191.65773061292649,10,18.64225593593756,68.91923205236145,1320.890361074126
26,Male,30.3223720740506,Urban,Fashion,2,76.87801650747761,5,17.241484228416834,42.22501692141699,162.3087773956608
15,Female,70.36800150469193,Urban,Beauty,5,391.2259576040742,4,30.560147496651343,60.538214519704006,947.3648378844828
18,Male,85.90996909271868,Urban,Home,2,185.91876248464288,10,33.70849832411515,61.397724961114264,1141.4989044142833
